wave_ang,flux_corrected
3360,6.250067830810557e-14
3380,7.707215519478497e-14
3400,7.639630221351189e-14
3420,7.653739914141603e-14
3440,8.623648174648124e-14
3460,8.275332737857958e-14
3480,5.445527852277373e-14
3500,3.2372136350100735e-14
3520,5.4997576151731236e-14
3540,9.931485743064766e-14
3560,9.864630405837201e-14
3580,6.299433204096271e-14
3600,4.6687255055431283e-14
3620,5.4311373038892575e-14
3640,6.067041313928589e-14
3660,5.5519877091766696e-14
3680,5.54681715103161e-14
3700,7.056501665692835e-14
3720,8.124366815559322e-14
3740,6.756319613768206e-14
3760,4.329607829112802e-14
3780,3.9673059472778554e-14
3800,5.681741804618453e-14
3820,6.110435821379809e-14
3840,3.891425638926179e-14
3860,1.9553217104033803e-14
3880,2.990218731501589e-14
3900,5.738019076901133e-14
3920,7.327088811501064e-14
3940,6.837671864750494e-14
3960,5.765878276712781e-14
3980,5.925504189685655e-14
4000,7.585057133802847e-14
4020,9.518424394665361e-14
4040,1.0315318005664107e-13
4060,9.851102655455852e-14
4080,9.216360297678228e-14
4100,9.587724572535382e-14
4120,1.1102284714007295e-13
4140,1.2763105122929304e-13
4160,1.3180825465748057e-13
4180,1.1827873417782597e-13
4200,9.425262653772732e-14
4220,7.436948054487246e-14
4240,7.062919978358885e-14
4260,8.489976346674713e-14
4280,1.0855252983949091e-13
4300,1.299103839593199e-13
4320,1.4125122944645264e-13
4340,1.4274922164852197e-13
4360,1.4126660538145748e-13
4380,1.4458520481958346e-13
4400,1.5591958865056196e-13
4420,1.736725860111469e-13
4440,1.9268772406104808e-13
4460,2.080946395071208e-13
4480,2.179852524896299e-13
4500,2.2402861687295184e-13
4520,2.30259352274794e-13
4540,2.4016874105679975e-13
4560,2.544922436493626e-13
4580,2.7160510967558846e-13
4600,2.870382523439918e-13
4620,2.9716245451541445e-13
4640,2.9967133657035586e-13
4660,2.9429312622637875e-13
4680,2.8443963534153256e-13
4700,2.724960634081834e-13
4720,2.620611212766864e-13
4740,2.550383514016323e-13
4760,2.5160616480844034e-13
4780,2.509805429645704e-13
4800,2.524638002942642e-13
4820,2.5423037753869993e-13
4840,2.5660690833342187e-13
4860,2.586811190951411e-13
4880,2.6126591232086887e-13
4900,2.642813476070408e-13
4920,2.672791552655895e-13
4940,2.6868069252531515e-13
4960,2.6732451762268833e-13
4980,2.6257942625966566e-13
5000,2.538622991510137e-13
5020,2.4067371874107065e-13
5040,2.2565861056806803e-13
5060,2.1036936891843297e-13
5080,1.9764441074287575e-13
5100,1.8998482966379646e-13
5120,1.888255715530708e-13
5140,1.949467394645261e-13
5160,2.0780783042563027e-13
5180,2.257610200573219e-13
5200,2.460800476016032e-13
5220,2.670555838762715e-13
5240,2.862584416487434e-13
5260,3.016513313248846e-13
5280,3.128578896064447e-13
5300,3.1998428518244073e-13
5320,3.2308657329210385e-13
5340,3.2414616795797294e-13
5360,3.2528836189579105e-13
5380,3.272764842188126e-13
5400,3.309267713749702e-13
5420,3.374272740109595e-13
5440,3.4676867279840815e-13
5460,3.571005314212367e-13
5480,3.6836681483953436e-13
5500,3.794084233477689e-13
5520,3.892983389221772e-13
5540,3.957391610725574e-13
5560,4.000548946266387e-13
5580,4.013295068013688e-13
5600,3.9963269588195254e-13
5620,3.9602133281542585e-13
5640,3.9160420292745673e-13
5660,3.8760859670163705e-13
5680,3.847067825904385e-13
5700,3.8469782259733746e-13
5720,3.8788356472912205e-13
5740,3.9270150653439064e-13
5760,3.995698409137379e-13
5780,4.070303438736765e-13
5800,4.1547144514834915e-13
5820,4.2317463336993184e-13
5840,4.2911815464076146e-13
5860,4.3517860552255516e-13
5880,4.39943733547891e-13
5900,4.4412457285367764e-13
5920,4.486994254109023e-13
5940,4.5036309775118327e-13
5960,4.505763813078911e-13
5980,4.509200121396505e-13
6000,4.5027484904836817e-13
6020,4.485664213937104e-13
6040,4.4498869232122e-13
6060,4.406130752252075e-13
6080,4.354999044113766e-13
6100,4.307839883082819e-13
6120,4.2718248569927913e-13
6140,4.24926465110771e-13
6160,4.2424712795942316e-13
6180,4.2597527652912896e-13
6200,4.2814759645118724e-13
6220,4.3319246485913734e-13
6240,4.423830523341351e-13
6260,4.526056570875977e-13
6280,4.643147606300524e-13
6300,4.769910012351474e-13
6320,4.889822329324642e-13
6340,5.013029559375437e-13
6360,5.104014217558977e-13
6380,5.108865658341775e-13
6400,5.062647083962018e-13
6420,5.0496155032983e-13
6440,5.028720316729205e-13
6460,5.076804734190588e-13
6480,5.217472203289177e-13
6500,5.429805020529697e-13
6520,5.635861802735481e-13
6540,5.773559429602493e-13
6560,5.811144920928489e-13
6580,5.763445470612552e-13
6600,5.672419382560579e-13
6620,5.569262667304002e-13
6640,5.464757902587048e-13
6660,5.350763678067078e-13
6680,5.23209991295648e-13
6700,5.10649554455208e-13
6720,4.96873083468024e-13
6740,4.832412778844018e-13
6760,4.732510025201582e-13
6780,4.659812247289811e-13
6800,4.620553625026166e-13
6820,4.609651733088095e-13
6840,4.612175829483481e-13
6860,4.632093974944404e-13
6880,4.687040207720386e-13
6900,4.79262556163854e-13
6920,4.953447114886818e-13
6940,5.182866005350272e-13
6960,5.428481731183145e-13
6980,5.643002315509909e-13
7000,5.769517981551506e-13
7020,5.797328107646786e-13
7040,5.698126387351617e-13
7060,5.524741526833215e-13
7080,5.338486265593435e-13
7100,5.170968605873066e-13
7120,5.065478252546216e-13
7140,5.032606867889493e-13
7160,5.06452282471044e-13
7180,5.13502697773317e-13
7200,5.217415464462433e-13
7220,5.335947306751021e-13
7240,5.466541343074313e-13
7260,5.631871246339658e-13
7280,5.843665560340325e-13
7300,6.057894827947873e-13
7320,6.240208595876979e-13
7340,6.371844055983121e-13
7360,6.447164534865519e-13
7380,6.448187949359911e-13
7400,6.408992359605871e-13
7420,6.375539255795727e-13
7440,6.367576588172607e-13
7460,6.410321953266507e-13
7480,6.490719892691228e-13
7500,6.602479530227447e-13
7520,6.68032004437879e-13
7540,6.718019906380844e-13
7560,6.668756731023084e-13
7580,6.564301050653719e-13
7600,6.425039709376103e-13
7620,6.265246981913731e-13
7640,6.133074825875315e-13
7660,6.052083005180291e-13
7680,6.02086989964541e-13
7700,6.044779505155942e-13
7720,6.078873767276401e-13
7740,6.115707790742466e-13
7760,6.154979021634276e-13
7780,6.185939093476943e-13
7800,6.209749201389668e-13
7820,6.219552941349367e-13
7840,6.255428390138225e-13
7860,6.291682044615944e-13
7880,6.328709683879776e-13
7900,6.367845387965639e-13
7920,6.398276864866473e-13
7940,6.429395426952554e-13
7960,6.458071827463883e-13
7980,6.474899466334311e-13
8000,6.503875284555296e-13
8020,6.529648479328591e-13
8040,6.555239773909718e-13
8060,6.595781616447779e-13
8080,6.622087456658127e-13
8100,6.63498665735733e-13
8120,6.639211345134338e-13
8140,6.611190954749129e-13
8160,6.611338186529451e-13
8180,6.593701458581003e-13
8200,6.593607351012268e-13
8220,6.585294841798051e-13
8240,6.58542452143242e-13
8260,6.602333191469692e-13
8280,6.609655157925004e-13
8300,6.59930751406516e-13
8320,6.576252031485017e-13
8340,6.522671410946588e-13
8360,6.462267258120562e-13
8380,6.415919907760223e-13
8400,6.347310397796944e-13
8420,6.296435784477292e-13
8440,6.226089218044189e-13
8460,6.216116633031773e-13
8480,6.214348958645324e-13
8500,6.221975286328081e-13
8520,6.209277791785863e-13
8540,6.207727579025995e-13
8560,6.200709995060569e-13
8580,6.200326378080196e-13
8600,6.183797263896857e-13
8620,6.163952505754842e-13
8640,6.164239314836333e-13
8660,6.175877365676021e-13
8680,6.237294131675853e-13
8700,6.237436409307167e-13
8720,6.298783838483308e-13
8740,6.331009557191994e-13
8760,6.371141215328276e-13
8780,6.402328210584258e-13
8800,6.45505696201116e-13
8820,6.453926384808583e-13
8840,6.437388265981014e-13
8860,6.402901382235955e-13
8880,6.375244345723795e-13
8900,6.361690027921042e-13
8920,6.342089755969519e-13
8940,6.326913188253061e-13
8960,6.350561201938434e-13
8980,6.353914661150384e-13
9000,6.377752686649587e-13
9020,6.40219763792732e-13
9040,6.40069336267361e-13
9060,6.387973351205207e-13
9080,6.40428635392704e-13
9100,6.37130780656213e-13
9120,6.344024925243611e-13
9140,6.331012257522141e-13
9160,6.326876712533638e-13
9180,6.282259221306473e-13
9200,6.277962039233124e-13
9220,6.325079770395639e-13
9240,6.314455225752323e-13
9260,6.309614596921334e-13
9280,6.350711134048904e-13
9300,6.343368915117492e-13
9320,6.321387717424463e-13
9340,6.313679901432358e-13
9360,6.294189492519166e-13
9380,6.278023275066373e-13
9400,6.227457073469383e-13
9420,6.180708543351498e-13
9440,6.214032881812284e-13
9460,6.163144309699391e-13
9480,6.146138821132015e-13
9500,6.204214279405557e-13
9520,6.177432532584898e-13
9540,6.186909383759748e-13
9560,6.238267122288802e-13
9580,6.232690781067481e-13
9600,6.231474654429114e-13
9620,6.217030641630337e-13
9640,6.205553324221706e-13
9660,6.11701216714677e-13
9680,6.067058759762332e-13
9700,6.033045550071162e-13
9720,5.913159800519397e-13
9740,5.897042667414192e-13
9760,5.85074618744658e-13
9780,5.762716062536304e-13
9800,5.810919794191532e-13
9820,5.746073481330695e-13
9840,5.771833620964541e-13
9860,5.786394694138301e-13
9880,5.74698658627547e-13
9900,5.827398037982145e-13
9920,5.783243398225841e-13
9940,5.816611409742701e-13
9960,5.828056748438413e-13
9980,5.769572913070672e-13
10000,5.758089748490463e-13
10020,5.714112054777316e-13
10040,5.638167980361781e-13
10060,5.648680865290406e-13
10080,5.578317639733919e-13
10100,5.601227697841317e-13
10120,5.681122259580536e-13
10140,5.690871514532352e-13
10160,5.887099350153327e-13
10180,5.923239994751283e-13
10200,6.135527788770654e-13
